Price,Close,High,Low,Open,Volume,SMA_50,SMA_200,RSI
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,,,
Date,,,,,,,,
2023-03-29,28348.44140625,28619.54296875,27259.662109375,27267.03125,20684945906,24233.64203125,22754.67296253551,68.8118070122865
2023-03-30,28033.5625,29159.90234375,27720.16015625,28350.140625,22435349951,24335.5253125,22813.986328125,64.6166108176382
2023-03-31,28478.484375,28639.896484375,27583.71484375,28032.26171875,19001327598,24468.71421875,22876.9251953125,56.375546181535135
2023-04-01,28411.03515625,28802.45703125,28297.171875,28473.33203125,10876469901,24603.91125,22937.739590487636,59.17011409351057
2023-04-02,28199.30859375,28518.958984375,27884.087890625,28462.845703125,12284641999,24730.479921875,22994.930557914402,51.1443305796899
2023-04-03,27790.220703125,28475.623046875,27276.720703125,28183.080078125,19556501327,24850.5202734375,23046.492817540322,50.160588730732215
2023-04-04,28168.08984375,28433.7421875,27681.3046875,27795.2734375,15284538859,24977.7200390625,23100.977892287236,49.94578287824391
2023-04-05,28177.984375,28739.23828125,27843.763671875,28169.7265625,17052315986,25096.8636328125,23154.420065789473,56.94538371640047
2023-04-06,28044.140625,28178.384765625,27738.759765625,28175.2265625,13837809380,25171.589609375,23205.354654947918,47.303586302536765
2023-04-07,27925.859375,28111.59375,27794.03125,28038.966796875,10861680497,25257.6373046875,23254.019652061856,54.64934377912688
2023-04-08,27947.794921875,28159.86328125,27883.38671875,27920.513671875,9373255556,25325.281171875,23301.91531808036,54.84844646813996
2023-04-09,28333.05078125,28532.830078125,27828.48046875,27952.3671875,12175322951,25399.116640625,23352.734868213385,53.71555943673898
2023-04-10,29652.98046875,29771.46484375,28189.271484375,28336.02734375,19282400094,25505.6233984375,23415.73732421875,75.01272308159452
2023-04-11,30235.05859375,30509.083984375,29609.30078125,29653.6796875,20121259843,25613.7416015625,23483.255356590347,77.08304733066353
2023-04-12,30139.052734375,30462.48046875,29725.57421875,30231.58203125,18651929926,25727.7955859375,23548.508272058825,69.92597686499917
2023-04-13,30399.06640625,30539.845703125,29878.623046875,29892.740234375,17487721001,25852.0000390625,23615.018545206312,76.64880307480266
2023-04-14,30485.69921875,31005.607421875,30044.498046875,30409.5625,22659995079,25982.7641796875,23681.082782451922,74.59819757372321
2023-04-15,30318.49609375,30601.740234375,30245.8828125,30490.75,11940685378,26125.1715625,23744.296242559525,72.81784044754387
2023-04-16,30315.35546875,30555.537109375,30157.83203125,30315.9765625,12854816417,26267.971171875,23806.287367334906,76.64259998819618
2023-04-17,29445.044921875,30319.197265625,29275.37109375,30317.146484375,17872186762,26385.6478125,23858.986036068924,68.6673840413222
2023-04-18,30397.552734375,30470.302734375,29154.849609375,29449.091796875,19480529496,26523.1414453125,23919.5283203125,72.26331242654376
2023-04-19,28822.6796875,30411.0546875,28669.8984375,30394.1875,24571565421,26636.64796875,23964.51136037844,54.904855165281276
2023-04-20,28245.98828125,29076.400390625,28037.2578125,28823.68359375,21340360360,26728.63671875,24003.433877840907,51.43871491543621
2023-04-21,27276.91015625,28349.96875,27177.365234375,28249.23046875,20759504330,26804.6655859375,24032.924655123872,45.874792909046846
2023-04-22,27817.5,27872.142578125,27169.5703125,27265.89453125,13125734602,26913.7619921875,24066.71550641741,49.22298368395023
2023-04-23,27591.384765625,27820.244140625,27400.314453125,27816.14453125,12785446832,27018.5226953125,24097.90726977323,45.491485144565075
2023-04-24,27525.33984375,27979.982421875,27070.849609375,27591.73046875,17703288330,27120.31921875,24127.97246779057,34.7399684755938
2023-04-25,28307.59765625,28371.078125,27207.931640625,27514.873046875,17733373139,27237.876015625,24164.317034646738,36.56159529820606
2023-04-26,28422.701171875,29995.837890625,27324.548828125,28300.05859375,31854242019,27361.9346484375,24201.027242726293,38.06524828551313
2023-04-27,29473.787109375,29871.546875,28402.88671875,28428.46484375,27153445027,27517.0487890625,24246.093566372863,44.20369808914361
2023-04-28,29340.26171875,29572.791015625,28929.609375,29481.013671875,17544464887,27696.59359375,24289.264482918432,42.86645326747443
2023-04-29,29248.48828125,29452.455078125,29088.04296875,29336.56640625,10662634333,27877.8184765625,24330.938632484245,43.27301223530729
2023-04-30,29268.806640625,29952.029296875,29114.021484375,29245.515625,14652199272,28050.54640625,24372.087532552083,43.434675862292046
2023-05-01,28091.568359375,29329.935546875,27680.79296875,29227.103515625,18655599976,28169.0987890625,24402.827043517562,41.8240706307422
2023-05-02,28680.537109375,28881.298828125,27924.123046875,28087.17578125,16432924527,28258.7588671875,24437.890240778688,39.151576239277595
2023-05-03,29006.30859375,29259.533203125,28178.388671875,28680.494140625,19122972518,28343.9635546875,24475.03185340447,51.377651618166986
2023-05-04,28847.7109375,29353.185546875,28694.0390625,29031.3046875,15548678514,28433.3985546875,24510.295394405242,54.81650257395429
2023-05-05,29534.384765625,29668.908203125,28845.509765625,28851.48046875,17936566518,28523.03046875,24550.488109375,68.92563894235036
2023-05-06,28904.623046875,29820.126953125,28468.966796875,29538.859375,15913866714,28552.6443359375,24585.044735863095,58.97968448566866
2023-05-07,28454.978515625,29157.517578125,28441.3671875,28901.623046875,11301355486,28582.426328125,24615.51665538878,56.87928944296052
2023-05-08,27694.2734375,28663.271484375,27310.134765625,28450.45703125,19122903752,28575.53828125,24639.569442749023,51.211614374525475
2023-05-09,27658.775390625,27821.400390625,27375.6015625,27695.068359375,14128593256,28573.3690625,24662.97414001938,44.788296560840834
2023-05-10,27621.755859375,28322.6875,26883.669921875,27654.63671875,20656025026,28562.2878515625,24685.73399939904,43.48462846157513
2023-05-11,27000.7890625,27621.94140625,26781.826171875,27621.0859375,16724343943,28556.1548828125,24703.406175453245,28.369508433871616
2023-05-12,26804.990234375,27055.646484375,25878.4296875,26987.662109375,19313599897,28525.575234375,24719.327266808712,28.06378989783734
2023-05-13,26784.078125,27030.482421875,26710.873046875,26807.76953125,9999171605,28511.39109375,24734.851709351504,28.412192311061474
2023-05-14,26930.638671875,27150.9765625,26661.35546875,26788.974609375,10014858959,28500.1097265625,24751.238179221084,29.9612529744887
2023-05-15,27192.693359375,27646.34765625,26766.09765625,26931.384765625,14413231792,28484.0769921875,24769.323032407407,40.863111049698745
2023-05-16,27036.650390625,27299.3046875,26878.947265625,27171.513671875,12732238816,28482.0122265625,24785.994557100184,31.677620866269947
2023-05-17,27398.802734375,27465.927734375,26600.14453125,27035.470703125,15140006925,28484.6256640625,24805.066149635037,32.227247854964645
2023-05-18,26832.208984375,27466.52734375,26415.1015625,27401.650390625,15222938600,28454.301015625,24819.755590466484,29.560398945157132
2023-05-19,26890.12890625,27128.619140625,26700.2109375,26826.75390625,11258983301,28431.43234375,24834.650362522483,19.264495887506328
2023-05-20,27129.5859375,27155.158203125,26843.27734375,26888.841796875,7044911360,28404.454375,24851.04275948661,27.309011938985293
2023-05-21,26753.826171875,27265.91796875,26706.921875,27118.423828125,8647416921,28371.3101953125,24864.537677304965,27.83481018134438
2023-05-22,26851.27734375,27045.734375,26549.734375,26749.892578125,11056770492,28344.3495703125,24878.528801716548,36.72107281390907
2023-05-23,27225.7265625,27434.68359375,26816.1796875,26855.9609375,13697203143,28333.0596875,24894.942772071678,43.83672452795783
2023-05-24,26334.818359375,27224.603515625,26106.576171875,27224.603515625,16299104428,28296.3942578125,24904.941908094617,35.26529148206687
